"Scenario","Area","Year","Population"
"SSP1","Barbados",2040,279.7
"SSP1","Barbados",2045,276.9
"SSP1","Barbados",2050,273.3
"SSP1","Barbados",2055,269
"SSP1","Barbados",2060,264.2
"SSP1","Barbados",2065,259.1
"SSP1","Barbados",2070,253.9
"SSP1","Barbados",2075,248.6
"SSP1","Barbados",2080,243.1
"SSP1","Barbados",2085,237.1
"SSP1","Barbados",2090,230.3
"SSP1","Barbados",2095,222.6
"SSP1","Barbados",2100,213.3
"SSP1","Belarus",2020,9661
"SSP1","Belarus",2025,9405.9
"SSP1","Belarus",2030,9247.1
"SSP1","Belarus",2035,9098.8
"SSP1","Belarus",2040,8965.5
"SSP1","Belarus",2045,8851
"SSP1","Belarus",2050,8738
"SSP1","Belarus",2055,8608
"SSP1","Belarus",2060,8459.2
"SSP1","Belarus",2065,8296.4
"SSP1","Belarus",2070,8124.8
"SSP1","Belarus",2075,7944.7
"SSP1","Belarus",2080,7754.3
"SSP1","Belarus",2085,7553.9
"SSP1","Belarus",2090,7349.2
"SSP1","Belarus",2095,7147.3
"SSP1","Belarus",2100,6944.8
"SSP1","Belgium",2020,11541.3
"SSP1","Belgium",2025,11699.1
"SSP1","Belgium",2030,11826.7
"SSP1","Belgium",2035,11960.9
"SSP1","Belgium",2040,12099.3
"SSP1","Belgium",2045,12239.9
"SSP1","Belgium",2050,12372.2
"SSP1","Belgium",2055,12459.9
"SSP1","Belgium",2060,12507.9
"SSP1","Belgium",2065,12524.7
"SSP1","Belgium",2070,12527
"SSP1","Belgium",2075,12517.2
"SSP1","Belgium",2080,12477.9
"SSP1","Belgium",2085,12364.7
"SSP1","Belgium",2090,12143
"SSP1","Belgium",2095,11844.1
"SSP1","Belgium",2100,11477.6
"SSP1","Belize",2020,392.4
"SSP1","Belize",2025,421.7
"SSP1","Belize",2030,448.6
"SSP1","Belize",2035,471.2
"SSP1","Belize",2040,489.3
"SSP1","Belize",2045,504.8
"SSP1","Belize",2050,517.7
"SSP1","Belize",2055,527.8
"SSP1","Belize",2060,534.9
"SSP1","Belize",2065,538.9
"SSP1","Belize",2070,539.9
"SSP1","Belize",2075,538
"SSP1","Belize",2080,533.5
"SSP1","Belize",2085,526.3
"SSP1","Belize",2090,516.2
"SSP1","Belize",2095,503.2
"SSP1","Belize",2100,487.1
"SSP1","Benin",2020,12466.8
"SSP1","Benin",2025,14132.4
"SSP1","Benin",2030,15721.4
"SSP1","Benin",2035,17226.9
"SSP1","Benin",2040,18635.7
"SSP1","Benin",2045,19991.1
"SSP1","Benin",2050,21241.1
"SSP1","Benin",2055,22322.3
"SSP1","Benin",2060,23198.5
"SSP1","Benin",2065,23929.7
"SSP1","Benin",2070,24502
"SSP1","Benin",2075,24927.6
"SSP1","Benin",2080,25169.7
"SSP1","Benin",2085,25236.8
"SSP1","Benin",2090,25124.8
"SSP1","Benin",2095,24865.5
"SSP1","Benin",2100,24478.2
"SSP1","Bhutan",2020,770
"SSP1","Bhutan",2025,795.1
"SSP1","Bhutan",2030,814.9
"SSP1","Bhutan",2035,829.2
"SSP1","Bhutan",2040,837.5
"SSP1","Bhutan",2045,841.2
"SSP1","Bhutan",2050,839.9
"SSP1","Bhutan",2055,833.6
"SSP1","Bhutan",2060,822.4
"SSP1","Bhutan",2065,806.4
"SSP1","Bhutan",2070,785.2
"SSP1","Bhutan",2075,758.8
"SSP1","Bhutan",2080,728
"SSP1","Bhutan",2085,694.1
"SSP1","Bhutan",2090,658.5
"SSP1","Bhutan",2095,622.4
"SSP1","Bhutan",2100,586.3
"SSP1","Bolivia (Plurinational State of)",2020,11862.3
"SSP1","Bolivia (Plurinational State of)",2025,12554.8
"SSP1","Bolivia (Plurinational State of)",2030,13249
"SSP1","Bolivia (Plurinational State of)",2035,13839.3
"SSP1","Bolivia (Plurinational State of)",2040,14303.5
"SSP1","Bolivia (Plurinational State of)",2045,14682.2
"SSP1","Bolivia (Plurinational State of)",2050,14949.6
"SSP1","Bolivia (Plurinational State of)",2055,15096.4
"SSP1","Bolivia (Plurinational State of)",2060,15130.4
"SSP1","Bolivia (Plurinational State of)",2065,15083.4
"SSP1","Bolivia (Plurinational State of)",2070,14954.7
"SSP1","Bolivia (Plurinational State of)",2075,14753.4
"SSP1","Bolivia (Plurinational State of)",2080,14479
"SSP1","Bolivia (Plurinational State of)",2085,14142.4
"SSP1","Bolivia (Plurinational State of)",2090,13756.3
"SSP1","Bolivia (Plurinational State of)",2095,13332.8
"SSP1","Bolivia (Plurinational State of)",2100,12878.4
"SSP1","Bosnia and Herzegovina",2020,3341
"SSP1","Bosnia and Herzegovina",2025,3183
"SSP1","Bosnia and Herzegovina",2030,3071.1
"SSP1","Bosnia and Herzegovina",2035,2951.7
"SSP1","Bosnia and Herzegovina",2040,2827.3
"SSP1","Bosnia and Herzegovina",2045,2703.4
"SSP1","Bosnia and Herzegovina",2050,2581.8
"SSP1","Bosnia and Herzegovina",2055,2463.3
"SSP1","Bosnia and Herzegovina",2060,2346.9
"SSP1","Bosnia and Herzegovina",2065,2237
"SSP1","Bosnia and Herzegovina",2070,2133.7
"SSP1","Bosnia and Herzegovina",2075,2037.1
"SSP1","Bosnia and Herzegovina",2080,1946.1
"SSP1","Bosnia and Herzegovina",2085,1859.8
"SSP1","Bosnia and Herzegovina",2090,1777.6
"SSP1","Bosnia and Herzegovina",2095,1698.9
"SSP1","Bosnia and Herzegovina",2100,1622.4
"SSP1","Botswana",2020,2523.5
"SSP1","Botswana",2025,2728.8
"SSP1","Botswana",2030,2921.4
"SSP1","Botswana",2035,3090.7
"SSP1","Botswana",2040,3235.1
"SSP1","Botswana",2045,3361.1
"SSP1","Botswana",2050,3466.8
"SSP1","Botswana",2055,3536.9
"SSP1","Botswana",2060,3575
"SSP1","Botswana",2065,3584.5
"SSP1","Botswana",2070,3567.2
"SSP1","Botswana",2075,3526.4
"SSP1","Botswana",2080,3463.1
"SSP1","Botswana",2085,3381.8
"SSP1","Botswana",2090,3282.8
"SSP1","Botswana",2095,3168.1
"SSP1","Botswana",2100,3037.8
"SSP1","Brazil",2020,212564.9
"SSP1","Brazil",2025,217004.2
"SSP1","Brazil",2030,220666.2
"SSP1","Brazil",2035,222826.9
"SSP1","Brazil",2040,223453.5
"SSP1","Brazil",2045,222956.3
"SSP1","Brazil",2050,221235.3
"SSP1","Brazil",2055,218385.8
"SSP1","Brazil",2060,214408.7
"SSP1","Brazil",2065,209456.8
"SSP1","Brazil",2070,203632.5
"SSP1","Brazil",2075,197113
"SSP1","Brazil",2080,190087.1
"SSP1","Brazil",2085,182717.6
"SSP1","Brazil",2090,175136.5
"SSP1","Brazil",2095,167257.9
"SSP1","Brazil",2100,158863.2
"SSP1","Brunei Darussalam",2020,439.9
"SSP1","Brunei Darussalam",2025,459.9
"SSP1","Brunei Darussalam",2030,476.1
"SSP1","Brunei Darussalam",2035,489.1
"SSP1","Brunei Darussalam",2040,499.1
"SSP1","Brunei Darussalam",2045,507.2
"SSP1","Brunei Darussalam",2050,512.8
"SSP1","Brunei Darussalam",2055,515.3
"SSP1","Brunei Darussalam",2060,514.7
"SSP1","Brunei Darussalam",2065,511.3
"SSP1","Brunei Darussalam",2070,505.8
"SSP1","Brunei Darussalam",2075,498.7
"SSP1","Brunei Darussalam",2080,490.1
"SSP1","Brunei Darussalam",2085,479.8
"SSP1","Brunei Darussalam",2090,467.6
"SSP1","Brunei Darussalam",2095,452
"SSP1","Brunei Darussalam",2100,432.5
"SSP1","Bulgaria",2020,7020.2
"SSP1","Bulgaria",2025,6686.5
"SSP1","Bulgaria",2030,6446.1
"SSP1","Bulgaria",2035,6219.9
"SSP1","Bulgaria",2040,6006.8
"SSP1","Bulgaria",2045,5809.9
"SSP1","Bulgaria",2050,5629.6
"SSP1","Bulgaria",2055,5456.2
"SSP1","Bulgaria",2060,5281.3
"SSP1","Bulgaria",2065,5103.6
"SSP1","Bulgaria",2070,4925
"SSP1","Bulgaria",2075,4750.5
"SSP1","Bulgaria",2080,4586
"SSP1","Bulgaria",2085,4434.1
"SSP1","Bulgaria",2090,4294.6
"SSP1","Bulgaria",2095,4163.8
"SSP1","Bulgaria",2100,4029.8
"SSP1","Burkina Faso",2020,21231.9
"SSP1","Burkina Faso",2025,23825.1
"SSP1","Burkina Faso",2030,26271.1
"SSP1","Burkina Faso",2035,28662.1
"SSP1","Burkina Faso",2040,30958.1
"SSP1","Burkina Faso",2045,33185.8
"SSP1","Burkina Faso",2050,35209
"SSP1","Burkina Faso",2055,36893.5
"SSP1","Burkina Faso",2060,38240.4
"SSP1","Burkina Faso",2065,39340.7
"SSP1","Burkina Faso",2070,40216.3
"SSP1","Burkina Faso",2075,40865.2
"SSP1","Burkina Faso",2080,41245.7
"SSP1","Burkina Faso",2085,41323
"SSP1","Burkina Faso",2090,41106.5
"SSP1","Burkina Faso",2095,40649.8
"SSP1","Burkina Faso",2100,40008.6
"SSP1","Burundi",2020,12053.9
"SSP1","Burundi",2025,13526.9
"SSP1","Burundi",2030,14893.9
"SSP1","Burundi",2035,16212.5
"SSP1","Burundi",2040,17456.8
"SSP1","Burundi",2045,18636.9
"SSP1","Burundi",2050,19687.8
"SSP1","Burundi",2055,20546.4
"SSP1","Burundi",2060,21195.3
"SSP1","Burundi",2065,21685.7
"SSP1","Burundi",2070,22028.2
"SSP1","Burundi",2075,22235
"SSP1","Burundi",2080,22293.3
"SSP1","Burundi",2085,22193.4
"SSP1","Burundi",2090,21948.2
"SSP1","Burundi",2095,21561.1
"SSP1","Burundi",2100,21043.2
"SSP1","Cambodia",2020,16296.3
"SSP1","Cambodia",2025,17198.8
"SSP1","Cambodia",2030,17904.7
"SSP1","Cambodia",2035,18439.5
"SSP1","Cambodia",2040,18795
"SSP1","Cambodia",2045,18984.5
"SSP1","Cambodia",2050,19019.4
"SSP1","Cambodia",2055,18923.7
"SSP1","Cambodia",2060,18722.2
"SSP1","Cambodia",2065,18441.1
"SSP1","Cambodia",2070,18069.3
"SSP1","Cambodia",2075,17597.3
"SSP1","Cambodia",2080,17036
"SSP1","Cambodia",2085,16418.3
"SSP1","Cambodia",2090,15769.7
"SSP1","Cambodia",2095,15087.8
"SSP1","Cambodia",2100,14358.1
"SSP1","Cameroon",2020,26137.1
"SSP1","Cameroon",2025,29417.4
"SSP1","Cameroon",2030,32591.7
"SSP1","Cameroon",2035,35610
"SSP1","Cameroon",2040,38424
"SSP1","Cameroon",2045,41138.1
"SSP1","Cameroon",2050,43718.4
"SSP1","Cameroon",2055,45989.2
"SSP1","Cameroon",2060,47857
"SSP1","Cameroon",2065,49374.8
"SSP1","Cameroon",2070,50558.3
"SSP1","Cameroon",2075,51337.9
"SSP1","Cameroon",2080,51773.8
"SSP1","Cameroon",2085,51857.4
"SSP1","Cameroon",2090,51628.4
"SSP1","Cameroon",2095,51112.6
"SSP1","Cameroon",2100,50317.3
"SSP1","Canada",2020,37758.2
"SSP1","Canada",2025,38656.9
"SSP1","Canada",2030,39483.1
"SSP1","Canada",2035,40265
"SSP1","Canada",2040,40980.7
"SSP1","Canada",2045,41670.6
"SSP1","Canada",2050,42362
"SSP1","Canada",2055,42910.6
"SSP1","Canada",2060,43350
"SSP1","Canada",2065,43693.8
"SSP1","Canada",2070,43984.6
"SSP1","Canada",2075,44192.3
"SSP1","Canada",2080,44236.5
"SSP1","Canada",2085,44015.7
"SSP1","Canada",2090,43374.8
"SSP1","Canada",2095,42318.2
"SSP1","Canada",2100,40940.2
"SSP1","Cape Verde",2020,579.9
"SSP1","Cape Verde",2025,605.4
"SSP1","Cape Verde",2030,626.5
"SSP1","Cape Verde",2035,641.4
"SSP1","Cape Verde",2040,651.1
"SSP1","Cape Verde",2045,656.7
"SSP1","Cape Verde",2050,658.1
"SSP1","Cape Verde",2055,655
"SSP1","Cape Verde",2060,647.7
"SSP1","Cape Verde",2065,637.7
"SSP1","Cape Verde",2070,625
"SSP1","Cape Verde",2075,609.9
"SSP1","Cape Verde",2080,592.5
"SSP1","Cape Verde",2085,572.9
"SSP1","Cape Verde",2090,551.7
"SSP1","Cape Verde",2095,529.3
"SSP1","Cape Verde",2100,506.3
"SSP1","Central African Republic",2020,5272
"SSP1","Central African Republic",2025,6007
"SSP1","Central African Republic",2030,6766.8
"SSP1","Central African Republic",2035,7543.1
"SSP1","Central African Republic",2040,8303.8
"SSP1","Central African Republic",2045,9068.5
"SSP1","Central African Republic",2050,9796.8
"SSP1","Central African Republic",2055,10444.6
"SSP1","Central African Republic",2060,11009.6
"SSP1","Central African Republic",2065,11517.4
"SSP1","Central African Republic",2070,11964.5
"SSP1","Central African Republic",2075,12342.7
"SSP1","Central African Republic",2080,12643.4
"SSP1","Central African Republic",2085,12862.8
"SSP1","Central African Republic",2090,12992.7
"SSP1","Central African Republic",2095,13042.8
"SSP1","Central African Republic",2100,13034.3
"SSP1","Chad",2020,16379.2
"SSP1","Chad",2025,18890.7
"SSP1","Chad",2030,21306.2
"SSP1","Chad",2035,23716.4
"SSP1","Chad",2040,26069.5
"SSP1","Chad",2045,28395.4
"SSP1","Chad",2050,30617.7
"SSP1","Chad",2055,32664.3
"SSP1","Chad",2060,34476.5
"SSP1","Chad",2065,36079.8
"SSP1","Chad",2070,37445
"SSP1","Chad",2075,38577.7
"SSP1","Chad",2080,39429
"SSP1","Chad",2085,40022.6
"SSP1","Chad",2090,40303
"SSP1","Chad",2095,40257.8
"SSP1","Chad",2100,39910.2
"SSP1","Chile",2020,19206.7
"SSP1","Chile",2025,19550.6
"SSP1","Chile",2030,19861.5
"SSP1","Chile",2035,20059.8
"SSP1","Chile",2040,20132.7
"SSP1","Chile",2045,20114.7
"SSP1","Chile",2050,20017.7
"SSP1","Chile",2055,19827.6
"SSP1","Chile",2060,19534.4
"SSP1","Chile",2065,19149.7
"SSP1","Chile",2070,18691.6
"SSP1","Chile",2075,18168.6
"SSP1","Chile",2080,17581.5
"SSP1","Chile",2085,16922.8
"SSP1","Chile",2090,16182.6
"SSP1","Chile",2095,15362
"SSP1","Chile",2100,14487.9
"SSP1","China",2020,1423998
"SSP1","China",2025,1426413.6
"SSP1","China",2030,1416905.2
"SSP1","China",2035,1401086.2
"SSP1","China",2040,1380363.3
"SSP1","China",2045,1353893.1
"SSP1","China",2050,1319430.8
"SSP1","China",2055,1276179.5
"SSP1","China",2060,1226382.3
"SSP1","China",2065,1172845.9
"SSP1","China",2070,1118254.1
"SSP1","China",2075,1064529.5
"SSP1","China",2080,1011626.7
"SSP1","China",2085,958044.8
"SSP1","China",2090,904770.8
"SSP1","China",2095,854614.3
"SSP1","China",2100,808290.6
"SSP1","Colombia",2020,50617
"SSP1","Colombia",2025,52254.4
"SSP1","Colombia",2030,53731.3
"SSP1","Colombia",2035,54762.2
"SSP1","Colombia",2040,55351.8
"SSP1","Colombia",2045,55598.3
"SSP1","Colombia",2050,55512.6
"SSP1","Colombia",2055,55115.3
"SSP1","Colombia",2060,54415.7
"SSP1","Colombia",2065,53481.6
"SSP1","Colombia",2070,52335.2
"SSP1","Colombia",2075,51007.5
"SSP1","Colombia",2080,49488.2
"SSP1","Colombia",2085,47791.4
"SSP1","Colombia",2090,45939.5
"SSP1","Colombia",2095,43953
"SSP1","Colombia",2100,41864.9
"SSP1","Comoros",2020,798.3
"SSP1","Comoros",2025,874.2
"SSP1","Comoros",2030,943.2
"SSP1","Comoros",2035,1004.5
"SSP1","Comoros",2040,1058.3
"SSP1","Comoros",2045,1107.2
"SSP1","Comoros",2050,1149
"SSP1","Comoros",2055,1181.3
"SSP1","Comoros",2060,1202.5
"SSP1","Comoros",2065,1216
"SSP1","Comoros",2070,1220.8
"SSP1","Comoros",2075,1218.3
"SSP1","Comoros",2080,1207.9
"SSP1","Comoros",2085,1191.3
"SSP1","Comoros",2090,1169.2
"SSP1","Comoros",2095,1142
"SSP1","Comoros",2100,1110
"SSP1","Congo",2020,5635.3
"SSP1","Congo",2025,6299.9
"SSP1","Congo",2030,6942
"SSP1","Congo",2035,7557.4
"SSP1","Congo",2040,8126.3
"SSP1","Congo",2045,8658.4
"SSP1","Congo",2050,9153.8
"SSP1","Congo",2055,9569.2
"SSP1","Congo",2060,9896.1
"SSP1","Congo",2065,10153.5
"SSP1","Congo",2070,10338.2
"SSP1","Congo",2075,10447.3
"SSP1","Congo",2080,10488.8
"SSP1","Congo",2085,10474
"SSP1","Congo",2090,10403.8
"SSP1","Congo",2095,10274.9
"SSP1","Congo",2100,10082.8
"SSP1","Costa Rica",2020,5105.4
"SSP1","Costa Rica",2025,5244.2
"SSP1","Costa Rica",2030,5372.7
"SSP1","Costa Rica",2035,5470.7
"SSP1","Costa Rica",2040,5535.8
"SSP1","Costa Rica",2045,5574.7
"SSP1","Costa Rica",2050,5582
"SSP1","Costa Rica",2055,5558.9
"SSP1","Costa Rica",2060,5506.2
"SSP1","Costa Rica",2065,5428
"SSP1","Costa Rica",2070,5328.4
"SSP1","Costa Rica",2075,5207.7
"SSP1","Costa Rica",2080,5063.3
"SSP1","Costa Rica",2085,4892.9
"SSP1","Costa Rica",2090,4697.1
"SSP1","Costa Rica",2095,4479.3
"SSP1","Costa Rica",2100,4245
"SSP1","Cote d'Ivoire",2020,26477.6
"SSP1","Cote d'Ivoire",2025,29461.6
"SSP1","Cote d'Ivoire",2030,32185
"SSP1","Cote d'Ivoire",2035,34693
"SSP1","Cote d'Ivoire",2040,36946.4
"SSP1","Cote d'Ivoire",2045,39028
"SSP1","Cote d'Ivoire",2050,40918.6
"SSP1","Cote d'Ivoire",2055,42469.4
"SSP1","Cote d'Ivoire",2060,43637.2
"SSP1","Cote d'Ivoire",2065,44510.3
"SSP1","Cote d'Ivoire",2070,45108.8
"SSP1","Cote d'Ivoire",2075,45437
"SSP1","Cote d'Ivoire",2080,45499.5
"SSP1","Cote d'Ivoire",2085,45352.4
"SSP1","Cote d'Ivoire",2090,45012.7
"SSP1","Cote d'Ivoire",2095,44483.5
"SSP1","Cote d'Ivoire",2100,43758.2
"SSP1","Croatia",2020,4114.6
"SSP1","Croatia",2025,3986.8
"SSP1","Croatia",2030,3862.8
"SSP1","Croatia",2035,3746.4
"SSP1","Croatia",2040,3635.2
"SSP1","Croatia",2045,3531.2
"SSP1","Croatia",2050,3433.6
"SSP1","Croatia",2055,3339.6
"SSP1","Croatia",2060,3247.5
"SSP1","Croatia",2065,3157.7
"SSP1","Croatia",2070,3070.1
"SSP1","Croatia",2075,2984
"SSP1","Croatia",2080,2898
"SSP1","Croatia",2085,2811
